latin,tai_viet,tai_viet_sinh,nghia,trang,trang_thai
bơn húng,ꪹꪚꪰꪙ ꪭꪉꪴ,ꪹꪚꪰꪙ ꪭꪉꪴ,trăng sáng,57,OK
bơn khửn,ꪹꪚꪰꪙ ꪄꪙꪳ,ꪹꪚꪰꪙ ꪄꪙꪳ,trăng lên.,57,OK
bơn kị,ꪹꪚꪰꪙ ꪀꪲ,ꪹꪚꪰꪙ ꪀꪲ,tháng lẻ.,57,OK
bơn lạp,ꪹꪚꪰꪙ ꪩꪱꪚ,ꪹꪚꪰꪙ ꪩꪱꪚ,tháng Chạp,57,OK
bơn lăng,ꪹꪚꪰꪙ ꪨꪉ,ꪹꪚꪰꪙ ꪨꪉ,tháng sau.,57,OK
bơn lứn dè,ꪹꪚꪰꪙ ꪩꪙꪾꪷ ꪹꪹꪥ,ꪹꪚꪰꪙ ꪩꪙꪾꪷ ꪹꪹꪥ,tháng nhuận,57,OK
bơn mảu,ꪹꪚꪰꪙ ꪹꪢꪱ,ꪹꪚꪰꪙ ꪹꪢꪱ,tháng Mão.,57,OK
bơn mệt,ꪹꪚꪰꪙ ꪹꪣꪸꪒ,ꪹꪚꪰꪙ ꪹꪣꪸꪒ,tháng Tuất,57,OK
bơn mộ,ꪹꪚꪰꪙ ꪶꪣ,ꪹꪚꪰꪙ ꪶꪣ,trăng mờ.,57,OK
bơn một,ꪹꪚꪰꪙ ꪶꪙꪒ,ꪹꪚꪰꪙ ꪶꪙꪒ,tháng Mùi.,57,OK
bo'n nhị,ꪹꪚꪰꪙ ꪑꪲ,ꪹꪚꪰꪙ ꪑꪲ,tháng Dân.,58,OK
bơn nì,ꪹꪚꪰꪙ ꪙꪲ,ꪹꪚꪰꪙ ꪙꪲ,tháng này.,58,OK
bơn ók,ꪹꪚꪰꪙ ꪮꪮꪀ,ꪹꪚꪰꪙ ꪮꪮꪀ,tháng sinh,58,OK
bơn pảu,ꪹꪚꪰꪙ ꪹꪜꪱ,ꪹꪚꪰꪙ ꪹꪜꪱ,tháng Sửu.,58,OK
bơn pét,ꪹꪚꪰꪙ ꪵꪜꪒ,ꪹꪚꪰꪙ ꪵꪜꪒ,tháng Tám.,58,OK
bon pỏm,ꪹꪚꪰꪙ ꪜꪮꪣ,ꪹꪚꪰꪙ ꪜꪮꪣ,trăng tròn,58,OK
bon s-ngạ,,,tháng Ngọ.,58,DAP_AN_CUT_CAN_SOAT
bơn thoóng,ꪹꪚꪰꪙ ꪖꪮꪉ,ꪹꪚꪰꪙ ꪖꪮꪉ,tháng rười,58,OK
bơn toỏng,ꪌꪉ ꪔꪮꪉ,ꪌꪉ ꪔꪮꪉ,trăng chiếu,58,OK
bơn tsung,ꪹꪚꪰꪙ ꪌꪉꪴ,ꪹꪚꪰꪙ ꪌꪉꪴ,tháng xung,58,OK
bơn xam,ꪹꪚꪰꪙ ꪎꪱꪣ,ꪹꪚꪰꪙ ꪎꪱꪣ,tháng Ba.,58,OK
bơn xăn,ꪹꪚꪰꪙ ꪎꪽ,ꪹꪚꪰꪙ ꪎꪽ,tháng Thân,58,OK
bơn xẳư,ꪹꪚꪰꪙ ꪻꪎ,ꪹꪚꪰꪙ ꪻꪎ,tháng Tỵ.,58,OK
bon xêểng,ꪹꪚꪰꪙ ꪹꪎꪸꪉ,ꪹꪚꪰꪙ ꪹꪎꪸꪉ,trăng tỏ.,58,OK
bơn xi,ꪹꪚꪰꪙ ꪎꪲ,ꪹꪚꪰꪙ ꪎꪲ,tháng Thìn,58,OK
bơn xí,ꪹꪚꪰꪙ ꪎꪲ,ꪹꪚꪰꪙ ꪎꪲ,tháng Tư.,58,OK
bơn xíp,ꪹꪚꪰꪙ ꪎꪲꪚ,ꪹꪚꪰꪙ ꪎꪲꪚ,tháng Mười,58,OK
bơn xoong,ꪹꪚꪰꪙ ꪎꪮꪉ,ꪹꪚꪰꪙ ꪎꪮꪉ,tháng Hai.,58,OK
bơn xoóng,ꪹꪚꪰꪙ ꪎꪮꪉ,ꪹꪚꪰꪙ ꪎꪮꪉ,trăng soi.,58,OK
bỏng,ꪹꪚꪰꪉ,ꪹꪚꪰꪉ,mảnh.,58,OK
bởng lôông,ꪹꪚꪰꪉ ꪶꪨꪉ,ꪹꪚꪰꪉ ꪶꪨꪉ,mảnh to.,59,OK
bởng mạy,,ꪹꪚꪰꪉ ꪼꪣ,mảnh gồ.,59,DAP_AN_CUT_CAN_SOAT
bỏng na,ꪹꪚꪰꪉ ꪘꪱ,ꪹꪚꪰꪉ ꪘꪱ,mảnh dầy.,59,OK
bỏng nọi,ꪹꪚꪰꪉ ꪙꪮꪥ,ꪹꪚꪰꪉ ꪙꪮꪥ,mảnh nhỏ.,59,OK
bởng pẻn,ꪹꪚꪰꪉ ꪵꪜꪙ,ꪹꪚꪰꪉ ꪵꪜꪙ,mảnh ván.,59,OK
búm,ꪚꪣꪴ,ꪚꪣꪴ,ram.,59,OK
búm chăn,ꪚꪣꪴ ꪊꪽ,ꪚꪣꪴ ꪊꪽ,rấm na.,59,OK
búm cổỉ,ꪚꪣꪴ ꪶꪀꪥ,ꪚꪣꪴ ꪶꪀꪥ,rấm chuối.,59,OK
búm mák,ꪚꪣꪴ ꪢꪱꪀ,ꪚꪣꪴ ꪢꪱꪀ,ram quả.,59,OK
búm môống,ꪚꪣꪴ ꪶꪣꪉ,ꪚꪣꪴ ꪶꪣꪉ,rấm muỗm.,59,OK
búm xúc,ꪚꪣꪴ ꪎꪀꪴ,ꪚꪣꪴ ꪎꪀꪴ,ram chín.,59,OK
bun,ꪚꪙꪴ,ꪚꪙꪴ,"sổ, trời",59,OK
bun đi,ꪚꪙꪴ ꪒꪲ,ꪚꪙꪴ ꪒꪲ,số may.,59,OK
bun hài,ꪚꪙꪴ ꪭꪱꪥ,ꪚꪙꪴ ꪭꪱꪥ,số xấu.,59,OK
bun khỏ,ꪚꪙꪴ ꪂꪰ,ꪚꪙꪴ ꪂꪰ,sổ nghèo,59,OK
bun min,ꪚꪙꪴ ꪢꪲꪙ,ꪚꪙꪴ ꪢꪲꪙ,số mệnh,59,OK
bun tụn,ꪚꪙꪴ ꪕꪙꪴ,ꪚꪙꪴ ꪕꪙꪴ,vẳn sổ.,59,OK
bun xung,ꪚꪙꪴ ꪎꪉꪴ,ꪚꪙꪴ ꪎꪉꪴ,trời cao.,59,OK
bủng,ꪚꪉꪴ,ꪚꪉꪴ,sâu.,60,OK
bủng cán,ꪚꪉꪴ ꪀꪱꪙ,ꪚꪉꪴ ꪀꪱꪙ,sâu khoang,60,OK
bủng fi,ꪚꪉꪴ ꪌꪲ,ꪚꪉꪴ ꪌꪲ,sâu ma.,60,OK
bung khạ,ꪚꪉꪴ ꪅꪱ,ꪚꪉꪴ ꪅꪱ,sâu cuốn chiếu,60,OK
bủng khăn,ꪚꪉꪴ ꪅꪽ,ꪚꪉꪴ ꪅꪽ,sâu ngứa,60,OK
bủng kheo,ꪚꪉꪴ ꪵꪄꪫ,ꪚꪉꪴ ꪵꪄꪫ,sâu xanh,60,OK
bủng khun,ꪚꪉꪴ ꪄꪙꪴ,ꪚꪉꪴ ꪄꪙꪴ,sâu róm.,60,OK
bủng lại,ꪚꪉꪴ ꪩꪱꪥ,ꪚꪉꪴ ꪩꪱꪥ,sâu vằn.,60,OK
bủng lôông,ꪚꪉꪴ ꪶꪨꪉ,ꪚꪉꪴ ꪶꪨꪉ,sâu to.,60,OK
bủng long,ꪚꪉꪴ ꪹꪨꪰꪉ,ꪚꪉꪴ ꪹꪨꪰꪉ,sâu vàng,60,OK
bủng mẹng,ꪚꪉꪴ ꪵꪣꪉ,ꪚꪉꪴ ꪵꪣꪉ,sâu bọ.,60,OK
bủng nọi,ꪚꪉꪴ ꪙꪮꪥ,ꪚꪉꪴ ꪙꪮꪥ,sâu nhỏ.,60,OK
bủng pém,ꪚꪉꪴ ꪵꪜꪣ,ꪚꪉꪴ ꪵꪜꪣ,sâu róm to.,60,OK
bủng táy,ꪚꪉꪴ ꪼꪔ,ꪚꪉꪴ ꪼꪔ,sâu bò.,60,OK
búng,ꪚꪉꪴ,ꪚꪉꪴ,"khêu, vũng.",60,OK
búng khoại,ꪚꪉꪴ ꪅꪫꪱꪥ,ꪚꪉꪴ ꪅꪫꪱꪥ,vũng trâu.,60,OK
búng lôông,ꪚꪉꪴ ꪶꪨꪉ,ꪚꪉꪴ ꪶꪨꪉ,vũng to.,60,OK
búng lực,ꪚꪉꪴ ꪹꪩꪰꪀ,ꪚꪉꪴ ꪹꪩꪰꪀ,vũng sâu.,61,OK
búng nam,ꪚꪉꪴ ꪢꪱꪣ,ꪚꪉꪴ ꪢꪱꪣ,khêu gai.,61,OK
búng nám,ꪚꪉꪴ ꪙꪱꪣꪚ,ꪚꪉꪴ ꪙꪱꪣꪚ,vũng bùn,61,OK
búng nặm,ꪚꪉꪴ ꪙꪾ,ꪚꪉꪴ ꪙꪾ,vũng nước,61,OK
búng noong,ꪚꪉꪴ ꪢꪮꪉ,ꪚꪉꪴ ꪢꪮꪉ,khêu mủ.,61,OK
búng nọi,ꪚꪉꪴ ꪙꪮꪥ,ꪚꪉꪴ ꪙꪮꪥ,vũng nhó.,61,OK
búng ối,ꪚꪉꪴ ꪶꪮꪥ,ꪚꪉꪴ ꪶꪮꪥ,vũng bẩn.,61,OK
búng phi,ꪚꪉꪴ ꪠꪲ,ꪚꪉꪴ ꪠꪲ,khêu nhọt,61,OK
búng phôộc,ꪚꪉꪴ ꪶꪀꪶꪀ,ꪚꪉꪴ ꪶꪀꪶꪀ,khêu nhọt,61,OK
búng tạu,ꪚꪉꪴ ꪹꪕꪱ,ꪚꪉꪴ ꪹꪕꪱ,vũng rêu.,61,OK
búng xem,ꪚꪉꪴ ꪹꪎꪸꪣ,ꪚꪉꪴ ꪹꪎꪸꪣ,khêu dăm.,61,OK
bửi,ꪚꪥꪳ,ꪚꪥꪳ,múi.,61,OK
bửi kêêng,ꪚꪥꪳ ꪹꪀꪸꪉ,ꪚꪥꪳ ꪹꪀꪸꪉ,múi cam.,61,OK
bửi nghék,ꪚꪥꪳ ꪵꪈꪀ,ꪚꪥꪳ ꪵꪈꪀ,múi quýt,61,OK
bửi pục,ꪚꪥꪳ ꪝꪀꪴ,ꪚꪥꪳ ꪝꪀꪴ,múi bưởi.,61,OK
birn,ꪚꪙꪳ,ꪚꪙꪳ,"sổ, trời",61,OK
bim đi,ꪚꪙꪳ ꪒꪲ,ꪚꪙꪳ ꪒꪲ,số may.,61,OK
bim hài,ꪚꪙꪳ ꪭꪱꪥ,ꪚꪙꪳ ꪭꪱꪥ,số xấu.,61,OK
bưn khỏ,ꪚꪙꪳ ꪂꪰ,ꪚꪙꪳ ꪂꪰ,sổ nghèo,62,OK
bưn min,ꪚꪙꪳ ꪢꪲꪙ,ꪚꪙꪳ ꪢꪲꪙ,sổ mệnh,62,OK
bưn tụn,ꪚꪙꪳ ꪕꪙꪴ,ꪚꪙꪳ ꪕꪙꪴ,vắn số.,62,OK
bưn xung,ꪚꪙꪳ ꪎꪉꪴ,ꪚꪙꪳ ꪎꪉꪴ,trời cao.,62,OK
bứn,ꪚꪙꪳ,ꪚꪙꪳ,nhắc.,62,OK
bứn họt,ꪚꪙꪳ ꪭꪮꪒ,ꪚꪙꪳ ꪭꪮꪒ,nhắc đến.,62,OK
bút,ꪚꪒꪳ,ꪚꪒꪳ,thiu.,62,OK
bứt ơn,ꪚꪒꪳ ꪹꪮꪰꪙ,ꪚꪒꪳ ꪹꪮꪰꪙ,thiu ôi.,62,OK
bứt min,ꪚꪒ ꪢꪲꪙ,ꪚꪒ ꪢꪲꪙ,thiu thối.,62,OK
bụt,ꪛꪒꪳ,ꪛꪒꪳ,nuốt.,62,OK
bụt chảo,ꪛꪒꪳ ꪊꪱꪫ,ꪛꪒꪳ ꪊꪱꪫ,nuốt cháo,62,OK
bựt kèn,ꪛꪒꪳ ꪵꪁꪙ,ꪛꪒꪳ ꪵꪁꪙ,nuốt nghẹn,62,OK
bụt kin,ꪛꪒꪳ ꪀꪲꪙ,ꪛꪒꪳ ꪀꪲꪙ,nuốt ăn.,62,OK
but khảu,ꪛꪒꪳ ꪹꪢꪱ,ꪛꪒꪳ ꪹꪢꪱ,nuốt vào.,62,OK
bụt lụng,ꪛꪒꪳ ꪩꪉꪴ,ꪛꪒꪳ ꪩꪉꪴ,nuốt xuống.,62,OK
ca,ꪀꪱ,ꪀꪱ,quạ.,63,OK
ca báng,ꪀꪱ ꪚꪱꪉ,ꪀꪱ ꪚꪱꪉ,quạ khoang,63,OK
ca bin,ꪀꪱ ꪚꪲꪙ,ꪀꪱ ꪚꪲꪙ,quạ bay.,63,OK
ca chả,ꪀꪱ ꪊꪱ,ꪀꪱ ꪊꪱ,tuyết,63,OK
ca cọn,ꪀꪱ ꪁꪮꪙ,ꪀꪱ ꪁꪮꪙ,quạ đậu.,63,OK
ca đăm,ꪀꪱ ꪒꪾ,ꪀꪱ ꪒꪾ,quạ đen.,63,OK
ca hoòng,ꪀꪱ ꪭꪮꪉ,ꪀꪱ ꪭꪮꪉ,quạ kêu.,63,OK
ca tót,ꪀꪱ ꪔꪮꪒ,ꪀꪱ ꪔꪮꪒ,quạ mổ.,63,OK
ca tsa,ꪀꪱ ꪌꪱ,ꪀꪱ ꪌꪱ,vợt.,63,OK
ca tsá,ꪀꪱ ꪍꪱ,ꪀꪱ ꪍꪱ,mâm tre.,63,OK
cà,ꪁꪱ,ꪁꪱ,"giá, chơi, cách",63,OK
cà bản,ꪁꪱ ꪚꪱꪙ,ꪁꪱ ꪚꪱꪙ,chơi bản.,63,OK
cà chẹn,ꪁꪱ ꪹꪋꪙ,ꪁꪱ ꪹꪋꪙ,giá tiền,63,OK
cà dam,ꪁꪱ ꪥꪱꪣ,ꪁꪱ ꪥꪱꪣ,chơi thăm.,63,OK
cà dé,ꪁꪱ ꪵꪥ,ꪁꪱ ꪵꪥ,chơi rong,64,OK
cà đêu,ꪁꪱ ꪹꪒꪸꪫ,ꪁꪱ ꪹꪒꪸꪫ,một giá.,64,OK
cà đĩn,ꪁꪱ ꪒꪲꪙ,ꪁꪱ ꪒꪲꪙ,chơi bời.,64,OK
cà hệt,ꪁꪱ ꪹꪭꪸꪒ,ꪁꪱ ꪹꪭꪸꪒ,cách làm.,64,OK
cà khai,ꪁꪱ ꪏꪱꪥ,ꪁꪱ ꪏꪱꪥ,giá bán.,64,OK
cà khảu,ꪁꪱ ꪹꪂꪱ,ꪁꪱ ꪹꪂꪱ,giá gạo.,64,OK
cà khửn,ꪁꪱ ꪄꪙꪳ,ꪁꪱ ꪄꪙꪳ,giá lên.,64,OK
cà lụng,ꪁꪱ ꪩꪉꪴ,ꪁꪱ ꪩꪉꪴ,giá xuống,64,OK
cà mương,ꪁꪱ ꪹꪣꪉ,ꪁꪱ ꪹꪣꪉ,chơi mường,64,OK
cà ngắm,ꪁꪱ ꪈꪾ,ꪁꪱ ꪈꪾ,cách nghĩ.,64,OK
cà nhăm,ꪁꪱ ꪐꪾ,ꪁꪱ ꪐꪾ,giá thịt,64,OK
cà pẹng,ꪁꪱ ꪵꪝꪉ,ꪁꪱ ꪵꪝꪉ,giá đắt.,64,OK
cà sự,ꪁꪱ ꪏꪳ,ꪁꪱ ꪏꪳ,giá mua.,64,OK
cà thúk,ꪁꪱ ꪖꪀꪴ,ꪁꪱ ꪖꪀꪴ,giá rẻ.,64,OK
cả,ꪀꪱ,ꪀꪱ,mạ.,64,OK
cả cát,ꪀꪱ ꪀꪱꪒ,ꪀꪱ ꪀꪱꪒ,la liệt,64,OK
cả han,ꪀꪱ ꪬꪱꪙ,ꪀꪱ ꪬꪱꪙ,dũng cảm.,64,OK
cả ké,ꪀꪱ ꪵꪀ,ꪀꪱ ꪵꪀ,mạ già.,64,OK
cả ón,ꪀꪱ ꪮꪮꪙ,ꪀꪱ ꪮꪮꪙ,mạ non.,64,OK
cá,ꪀꪱ,ꪀꪱ,"Quý, xổng.",65,OK
cá hàu,ꪀꪱ ꪹꪭꪱ,ꪀꪱ ꪹꪭꪱ,Ọuý Dậu.,65,OK
cá mảu,ꪀꪱ ꪹꪢꪱ,ꪀꪱ ꪹꪢꪱ,Quý Mão.,65,OK
cá một,ꪀꪱ ꪶꪣꪒ,ꪀꪱ ꪶꪣꪒ,Ọuý Mùi.,65,OK
cá ók,ꪀꪱ ꪮꪮꪀ,ꪀꪱ ꪮꪮꪀ,xổng ra.,65,OK
cá pay,,ꪀꪱ ꪼꪜ,xổng đi.,65,DAP_AN_CUT_CAN_SOAT
cá xăn,ꪀꪱ ꪎꪽ,ꪀꪱ ꪎꪽ,Quý Thân.,65,OK
cá xẳư,ꪀꪱ ꪻꪎ,ꪀꪱ ꪻꪎ,Quý Tỵ.,65,OK
cạ,ꪁꪱ,ꪁꪱ,"cào, buôn",65,OK
cạ chóng,ꪁꪱ ꪹꪊꪲꪉ,ꪁꪱ ꪹꪊꪲꪉ,buôn hàng,65,OK
cạ đin,ꪁꪱ ꪒꪲꪙ,ꪁꪱ ꪒꪲꪙ,cào đất.,65,OK
cạ khai,ꪁꪱ ꪄꪱꪥ,ꪁꪱ ꪄꪱꪥ,buôn bán.,65,OK
cạ nhả,ꪁꪱ ꪐꪱ,ꪁꪱ ꪐꪱ,cào cỏ.,65,OK
cạ pêệng,ꪁꪱ ꪹꪝꪸꪉ,ꪁꪱ ꪹꪝꪸꪉ,cào bằng.,65,OK
các,ꪀꪱꪀ,ꪀꪱꪀ,gác.,66,OK
các độn,ꪀꪱꪀ ꪶꪓꪙ,ꪀꪱꪀ ꪶꪓꪙ,gác đồn.,66,OK
các tu,ꪀꪱꪀ ꪔꪴ,ꪀꪱꪀ ꪔꪴ,gác cồng.,66,OK
cai,ꪀꪱꪥ,ꪀꪱꪥ,"chợ, qua, quá.",66,OK
cai bơn,ꪀꪱꪥ ꪹꪚꪰꪙ,ꪀꪱꪥ ꪹꪚꪰꪙ,qua tháng,66,OK
cai chợk,ꪀꪱꪥ ꪹꪋꪰ,ꪀꪱꪥ ꪹꪋꪰ,quá giờ.,66,OK
cai cơ,ꪀꪱꪥ ꪹꪀꪰ,ꪀꪱꪥ ꪹꪀꪰ,quá đáng,66,OK
cai đung,ꪀꪱꪥ ꪒꪉꪴ,ꪀꪱꪥ ꪒꪉꪴ,qua rừng,66,OK
cai hô,ꪀꪱꪥ ꪶꪬ,ꪀꪱꪥ ꪶꪬ,qua đầu.,66,OK
cai láu,ꪀꪱꪥ ꪹꪨꪱ,ꪀꪱꪥ ꪹꪨꪱ,qua đồi.,66,OK
cai mộ,ꪀꪱꪥ ꪶꪣ,ꪀꪱꪥ ꪶꪣ,qua mùa.,66,OK
cai mừ,ꪀꪱꪥ ꪣꪳ,ꪀꪱꪥ ꪣꪳ,qua ngày,66,OK
cai mự,ꪀꪱꪥ ꪣꪳ,ꪀꪱꪥ ꪣꪳ,qua tay.,66,OK
cai nả,ꪀꪱꪥ ꪢꪱ,ꪀꪱꪥ ꪢꪱ,qua mặt.,66,OK
cai pay,ꪀꪱꪥ ꪼꪜ,ꪀꪱꪥ ꪼꪜ,qua đi.,66,OK
cai pi,ꪀꪱꪥ ꪤ,ꪀꪱꪥ ꪤ,qua năm.,66,OK
cai tá,ꪀꪱꪥ ꪕꪱ,ꪀꪱꪥ ꪕꪱ,qua suối.,66,OK
cai xăm,ꪀꪱꪥ ꪎꪾ,ꪀꪱꪥ ꪎꪾ,quá thì.,66,OK
cài,ꪁꪱꪥ,ꪁꪱꪥ,cãi.,67,OK
cài căn,ꪁꪱꪥ ꪀꪽ,ꪁꪱꪥ ꪀꪽ,cãi nhau,67,OK
cài fô,ꪁꪱꪥ ꪶꪌꪲ,ꪁꪱꪥ ꪶꪌꪲ,cãi chồng,67,OK
cài táo,ꪁꪱꪥ ꪕꪱꪫ,ꪁꪱꪥ ꪕꪱꪫ,cãi lại.,67,OK
cải,ꪀꪱꪥ,ꪀꪱꪥ,"quái, lỏi, thân leo.",67,OK
cải chen,ꪀꪱꪥ ꪵꪊꪙ,ꪀꪱꪥ ꪵꪊꪙ,khôn lỏi.,67,OK
cải khắt càu,ꪀꪱꪥ ꪄꪒ ꪹꪁꪱ,ꪀꪱꪥ ꪄꪒ ꪹꪁꪱ,câu đằng.,67,OK
cái,ꪀꪱꪥ,ꪀꪱꪥ,"bắc, vẫy.",67,OK
cái chạt,ꪀꪱꪥ ꪋꪱꪒ,ꪀꪱꪥ ꪋꪱꪒ,bẳc cầu mây.,67,OK
cái đay,ꪀꪱꪥ ꪼꪒ,ꪀꪱꪥ ꪼꪒ,bắc cầu thang,67,OK
cái khô,ꪀꪱꪥ ꪶꪂ,ꪀꪱꪥ ꪶꪂ,bắc cầu.,67,OK
cái mạy,ꪀꪱꪥ ꪼꪣ,ꪀꪱꪥ ꪼꪣ,bắc gỗ.,67,OK
cái mự,ꪀꪱꪥ ꪣꪳ,ꪀꪱꪥ ꪣꪳ,vẫy tay.,67,OK
cái pẻn,ꪀꪱꪥ ꪵꪜꪙ,ꪀꪱꪥ ꪵꪜꪙ,bắc ván.,67,OK
cái sạng,ꪀꪱꪥ ꪏꪱꪉ,ꪀꪱꪥ ꪏꪱꪉ,bắc tre.,67,OK
cái tháng,ꪀꪱꪥ ꪖꪱꪉ,ꪀꪱꪥ ꪖꪱꪉ,bắc thang,67,OK
cái tsá,ꪀꪱꪥ ꪌꪱ,ꪀꪱꪥ ꪌꪱ,bắc giàn.,67,OK
cại,ꪁꪱꪥ,ꪁꪱꪥ,"rặm, nhặm.",68,OK
cại hô,ꪁꪱꪥ ꪶꪬ,ꪁꪱꪥ ꪶꪬ,nhặm đầu.,68,OK
cại kha,ꪁꪱꪥ ꪄꪱ,ꪁꪱꪥ ꪄꪱ,nhặm chân,68,OK
cại khăn,ꪁꪱꪥ ꪅꪽ,ꪁꪱꪥ ꪅꪽ,nhặm ngứa,68,OK
cại mự,ꪁꪱꪥ ꪣꪳ,ꪁꪱꪥ ꪣꪳ,nhặm tay.,68,OK
cáik,ꪁꪱꪥ,ꪁꪱꪥ,"cai, giải",68,OK
cáik khọn,ꪁꪱꪥ ꪅꪮꪙ,ꪁꪱꪥ ꪅꪮꪙ,cai thuốc,68,OK
cáik khôông,ꪁꪱꪥ ꪶꪄꪉ,ꪁꪱꪥ ꪶꪄꪉ,giải hạn.,68,OK
cáik lảu,ꪁꪱꪥ ꪹꪨꪱ,ꪁꪱꪥ ꪹꪨꪱ,cai rượu,68,OK
cáik min,ꪁꪱꪥ ꪢꪲꪙ,ꪁꪱꪥ ꪢꪲꪙ,giái vận.,68,OK
cák,ꪀꪱꪀ,ꪀꪱꪀ,"thóc, tận, hắc lào.",68,OK
cák nơ,ꪀꪱꪀ ꪹꪢꪰ,ꪀꪱꪀ ꪹꪢꪰ,tận trên,68,OK
cák tẳư,ꪀꪱꪀ ꪻꪔ,ꪀꪱꪀ ꪻꪔ,tận dưới.,68,OK
cạk,ꪁꪱ,ꪁꪱ,"gông, vướng",68,OK
cạk hồ,ꪁꪱ ꪶꪭ,ꪁꪱ ꪶꪭ,vướng rào.,68,OK
cạk mu,ꪁꪱ ꪢꪴ,ꪁꪱ ꪢꪴ,gông lợn.,68,OK
ca m,,,cam tâu mã.,69,DAP_AN_CUT_CAN_SOAT
cảm,ꪀꪱꪣ,ꪀꪱꪣ,càng,69,OK
cảm củng,ꪀꪱꪣ ꪀꪉꪴ,ꪀꪱꪣ ꪀꪉꪴ,càng tôm.,69,OK
cảm lôông,ꪀꪱꪱꪣ ꪶꪨꪉ,ꪀꪱꪱꪣ ꪶꪨꪉ,càng to.,69,OK
cảm pu,ꪀꪱꪣ ꪜꪴ,ꪀꪱꪣ ꪜꪴ,càng cua.,69,OK
can,ꪀꪱꪙ,ꪀꪱꪙ,can.,69,OK
can cáu,ꪀꪱꪙ ꪹꪀꪱ,ꪀꪱꪙ ꪹꪀꪱ,can cũ.,69,OK
can chôống,ꪀꪱꪙ ꪶꪋꪉ,ꪀꪱꪙ ꪶꪋꪉ,can đựng.,69,OK
can dạu,ꪀꪱꪙ ꪹꪥꪱ,ꪀꪱꪙ ꪹꪥꪱ,can dầu.,69,OK
can đi,ꪀꪱꪙ ꪒꪲ,ꪀꪱꪙ ꪒꪲ,can tốt.,69,OK
can hốk,ꪀꪱꪙ ꪶꪭ,ꪀꪱꪙ ꪶꪭ,can thủng.,69,OK
can lảu,ꪀꪱꪙ ꪹꪨꪱ,ꪀꪱꪙ ꪹꪨꪱ,can rượu,70,OK
can maư,ꪀꪱꪙ ꪻꪢ,ꪀꪱꪙ ꪻꪢ,can mới.,70,OK
can năm,ꪀꪱꪙ ꪙꪾ,ꪀꪱꪙ ꪙꪾ,can nước,70,OK
can nhợ,ꪀꪱꪙ ꪹꪑꪰ,ꪀꪱꪙ ꪹꪑꪰ,can nhựa,70,OK
can páu,ꪀꪱꪙ ꪹꪜꪱ,ꪀꪱꪙ ꪹꪜꪱ,can rồng,70,OK
can xắngk,ꪀꪱꪙ ꪏꪉ,ꪀꪱꪙ ꪏꪉ,can xăng.,70,OK
càn,ꪁꪱꪙ,ꪁꪱꪙ,"đố, sạt.",70,OK
càn đin,ꪁꪱꪙ ꪒꪲꪙ,ꪁꪱꪙ ꪒꪲꪙ,sạt đât.,70,OK
càn họn,ꪁꪱꪙ ꪹꪭꪰꪙ,ꪁꪱꪙ ꪹꪭꪰꪙ,đổ nhà.,70,OK
càn khồ,ꪁꪱꪙ ꪶꪃ,ꪁꪱꪙ ꪶꪃ,đổ sập.,70,OK
càn lúm,ꪁꪱꪙ ꪨꪣꪴ,ꪁꪱꪙ ꪨꪣꪴ,sạt lở.,70,OK
càn lụng,ꪁꪱꪙ ꪩꪉꪴ,ꪁꪱꪙ ꪩꪉꪴ,đổ xuống,70,OK
càn nẻn,ꪁꪱꪙ ꪵꪢꪙ,ꪁꪱꪙ ꪵꪢꪙ,đổ bẹp.,70,OK
cản,ꪀꪱꪙ,ꪀꪱꪙ,"cán, cuộng.",70,OK
cản chóp,ꪀꪱꪙ ꪊꪮꪚ,ꪀꪱꪙ ꪊꪮꪚ,cán cuốc,70,OK
cản chôộng,ꪀꪱꪙ ꪶꪋꪉ,ꪀꪱꪙ ꪶꪋꪉ,mớ tóc độn.,70,OK
cản đêếng,ꪀꪱꪙ ꪹꪒꪸꪉ,ꪀꪱꪙ ꪹꪒꪸꪉ,cán cân.,70,OK
cản fắc,ꪀꪱꪙ ꪞꪀ,ꪀꪱꪙ ꪞꪀ,cuộng rau.,71,OK
cản fẻo,ꪀꪱꪙ ꪵꪞꪫ,ꪀꪱꪙ ꪵꪞꪫ,chổi.,71,OK
cản hók,ꪀꪱꪙ ꪬꪮꪀ,ꪀꪱꪙ ꪬꪮꪀ,cán giáo.,71,OK
cản lổ,ꪀꪱꪙ ꪶꪨ,ꪀꪱꪙ ꪶꪨ,cán mai.,71,OK
cản thúc khẻo,ꪀꪱꪙ ꪖꪀꪴ ꪵꪄꪫ,ꪀꪱꪙ ꪖꪀꪴ ꪵꪄꪫ,bàn chải răng.,71,OK
cản vi,ꪀꪱꪙ ꪪꪲ,ꪀꪱꪙ ꪪꪲ,lược.,71,OK
cản vị,ꪀꪱꪙ ꪫꪲ,ꪀꪱꪙ ꪫꪲ,quạt.,71,OK
cản xêm,ꪀꪱꪙ ꪹꪎꪸꪣ,ꪀꪱꪙ ꪹꪎꪸꪣ,cán thuổng.,71,OK
cán,ꪀꪱꪙ,ꪀꪱꪙ,"sọc, khoang.",71,OK
cán đăm,ꪀꪱꪙ ꪒꪾ,ꪀꪱꪙ ꪒꪾ,sọc đen.,71,OK
